sender,messages,mean_words,pos_rate,neg_rate,question_pct,shouting_pct,nongame_pct,channels
kaansyrc,12,5.58,0.0,0.0,0.0,91.7,100.0,2
andrew12619,16,10.62,0.0,5.88,12.5,6.2,100.0,1
yjj5153,38,0.03,0.0,0.0,13.2,0.0,100.0,1
fullpuceauparchoix,9,2,0.0,0.0,11.1,88.9,100.0,1
henryjackjohn,15,0,0.0,0.0,40.0,0.0,100.0,1
perim,17,7.65,7.69,15.38,11.8,5.9,0.0,1
fitzer___,19,2.47,0.0,0.0,0.0,15.8,100.0,1
edea4252,5,2,0.0,0.0,0.0,0.0,100.0,1
streamelements,1141,13.21,9.02,0.6,14.4,3.8,59.4,42
marc1xxx,12,4.5,37.04,0.0,8.3,8.3,100.0,5
kenshaay,10,5.7,0.0,0.0,10.0,30.0,100.0,1
wriestheart,8,6,0.0,0.0,25.0,12.5,0.0,1
smao_,14,1.43,0.0,0.0,0.0,71.4,100.0,1
drakthedrake,14,10.5,54.42,6.8,7.1,0.0,0.0,1
zeusidiouss,7,4.71,0.0,0.0,28.6,0.0,100.0,2
okhaam,6,2.67,62.5,0.0,0.0,66.7,100.0,1
fourb0,6,3.5,0.0,0.0,0.0,16.7,100.0,1
adigebey,14,2.86,0.0,0.0,0.0,0.0,100.0,1
clownishknuckle,12,0,0.0,0.0,0.0,0.0,100.0,1
millionishere,26,4.5,0.0,0.0,3.8,3.8,96.2,4
feyyazemirreaven727,8,1.38,0.0,0.0,0.0,12.5,100.0,1
turistjavit,6,2.33,0.0,0.0,0.0,83.3,100.0,1
vlayy,27,2.48,0.0,0.0,0.0,11.1,100.0,1
sssmango,7,0.43,0.0,0.0,0.0,0.0,100.0,1
ksh1130,19,0,0.0,0.0,0.0,0.0,100.0,1
fireofdestiny777,6,0,0.0,0.0,0.0,0.0,100.0,1
childjjun,24,0.12,0.0,0.0,12.5,4.2,100.0,1
zzznm2151,6,0,0.0,0.0,0.0,0.0,100.0,1
simobomber11,5,6.8,0.0,0.0,20.0,0.0,0.0,1
punisher_th,48,1.5,0.0,0.0,0.0,14.6,0.0,1
xeokym68,21,5.57,17.09,8.55,14.3,0.0,0.0,1
gmnring,11,1.64,0.0,0.0,0.0,0.0,100.0,1
v32vv1c24c,20,3.75,0.0,13.33,10.0,80.0,85.0,5
rayanethuglife,6,5.5,0.0,0.0,0.0,33.3,100.0,1
second_gltv,5,0,0.0,0.0,60.0,0.0,0.0,1
comptejustepourlezvent,9,2.33,0.0,0.0,0.0,55.6,100.0,1
cypobbin_student,7,0,0.0,0.0,0.0,0.0,0.0,1
foscan,5,1.8,111.11,0.0,20.0,60.0,100.0,1
beklavafistik,10,2.8,0.0,0.0,0.0,30.0,100.0,1
mne_bcegda_19,7,0,0.0,0.0,0.0,0.0,0.0,1
rant4r,12,7.42,0.0,0.0,8.3,33.3,100.0,1
kendinenes,15,6.53,0.0,0.0,6.7,40.0,100.0,1
ayunaelnene,8,0,0.0,0.0,75.0,0.0,0.0,1
toosuchingu,6,0.33,0.0,0.0,0.0,0.0,100.0,1
recknis,10,0,0.0,0.0,100.0,0.0,0.0,1
nyaax_26,28,1.86,0.0,0.0,0.0,28.6,100.0,1
alextempest90,5,0,0.0,0.0,0.0,0.0,0.0,1
oswtlrd,14,0.86,0.0,0.0,0.0,0.0,100.0,1
im_spart,6,6,0.0,0.0,0.0,0.0,0.0,1
trulix,8,0,0.0,0.0,12.5,0.0,0.0,1
themafioso,6,1.83,0.0,0.0,16.7,66.7,100.0,1
shantajul,8,3.88,0.0,0.0,0.0,75.0,100.0,1
zorindvoid,9,0,0.0,0.0,33.3,0.0,0.0,1
knut_busta_knut,5,8,0.0,0.0,0.0,100.0,100.0,3
nicofalco,6,2,0.0,0.0,0.0,50.0,100.0,1
flotish,5,3.6,0.0,0.0,0.0,20.0,100.0,1
maskkim,25,0,0.0,0.0,8.0,0.0,100.0,1
falcarix,12,9.42,0.0,0.0,8.3,0.0,100.0,1
ajaaj7,8,11.38,0.0,0.0,25.0,0.0,100.0,2
jonitoto,6,10.83,0.0,0.0,16.7,0.0,100.0,1
zp_gio_v3,6,4,0.0,0.0,0.0,50.0,100.0,1
bahmo,14,8.86,8.06,0.0,35.7,0.0,0.0,1
kendinemuzisyen,8,8.88,0.0,0.0,87.5,0.0,100.0,1
copperkan,9,0.11,0.0,0.0,0.0,0.0,100.0,1
flash1212121,27,0.07,0.0,0.0,11.1,3.7,100.0,1
dadudad123,5,0,0.0,0.0,40.0,0.0,0.0,1
zenlaeth,9,2,0.0,0.0,0.0,66.7,100.0,1
dons_war,8,4.88,0.0,0.0,12.5,0.0,100.0,1
zayvox,11,3.18,28.57,0.0,0.0,36.4,100.0,1
droppingbottle,5,0,0.0,0.0,0.0,0.0,0.0,1
poseidonas,10,0.9,0.0,0.0,0.0,70.0,100.0,1
ciuvas,7,0,0.0,0.0,0.0,0.0,0.0,1
velocidrome,6,2,0.0,0.0,0.0,0.0,0.0,2
stankbo0t,12,3.08,0.0,0.0,8.3,8.3,0.0,1
isideru1201,16,0,0.0,0.0,0.0,0.0,100.0,1
hettor16,8,0.25,0.0,0.0,87.5,37.5,0.0,1
chicospetees,5,5.2,0.0,0.0,0.0,40.0,100.0,1
j47h,6,0,0.0,0.0,0.0,0.0,0.0,1
dishonoored,23,3.39,25.64,0.0,4.3,52.2,100.0,1
alkaran_,5,3.4,0.0,0.0,0.0,100.0,100.0,1
panikoc,6,0,0.0,0.0,0.0,0.0,0.0,1
digitalmuffinrs,6,0.67,0.0,0.0,66.7,0.0,0.0,1
kenjik,12,8.92,0.0,0.0,8.3,0.0,100.0,1
thebootiebandit,6,0.17,0.0,0.0,0.0,0.0,0.0,1
k0ulzc,10,4.3,23.26,162.79,0.0,10.0,0.0,1
artisticsass,7,3.71,0.0,76.92,0.0,14.3,0.0,2
mistrzjonasz,8,0,0.0,0.0,0.0,0.0,0.0,1
impure_iv,14,1.64,43.48,0.0,7.1,71.4,0.0,1
masterkeyblade,15,2.4,0.0,27.78,0.0,46.7,0.0,1
lalalaopera,16,0.12,0.0,0.0,31.2,6.2,100.0,1
animeking194,13,7.62,0.0,0.0,15.4,7.7,0.0,1
anwarben651,52,2.56,22.56,0.0,3.8,0.0,0.0,1
maolumineux,18,2.5,44.44,22.22,16.7,11.1,0.0,1
moobot,391,13.51,4.73,2.08,3.3,0.0,42.5,34
alennah,10,5.5,0.0,0.0,30.0,30.0,0.0,1
aurakou,13,4.69,0.0,32.79,0.0,38.5,0.0,1
bullyhunter,19,3.21,0.0,0.0,0.0,42.1,100.0,4
dorwinks,10,5.5,0.0,18.18,0.0,20.0,0.0,1
oneimm,10,7.4,0.0,0.0,0.0,0.0,0.0,1
rhoast,8,5.88,0.0,0.0,12.5,37.5,0.0,1
baabouchee_,6,1.83,0.0,0.0,0.0,50.0,100.0,1
pengu56,8,0,0.0,0.0,0.0,62.5,0.0,1
niizuka,37,3.62,0.0,7.46,5.4,29.7,0.0,1
moonwaalk2,5,4.8,0.0,41.67,20.0,40.0,0.0,1
sandersson98,6,0,0.0,0.0,0.0,0.0,0.0,1
azer_reza,5,2.8,0.0,0.0,20.0,0.0,100.0,1
spawnick,8,0,0.0,0.0,0.0,0.0,0.0,1
cypherhr,10,5.4,0.0,0.0,0.0,50.0,100.0,1
kodaaa_,6,3.33,0.0,0.0,16.7,50.0,100.0,1
master_moss,6,3.67,0.0,0.0,0.0,0.0,100.0,1
dela3asensei,12,2.33,0.0,0.0,16.7,50.0,0.0,2
emirpasa5445,16,5.19,0.0,0.0,0.0,18.8,100.0,1
brandonbouchard,7,0,0.0,0.0,71.4,0.0,0.0,1
bywai45,24,2.08,20.0,0.0,0.0,16.7,0.0,1
kaishi_fullbuster,9,5.22,0.0,0.0,33.3,33.3,0.0,1
siraesma,7,0,0.0,0.0,42.9,0.0,0.0,1
velocirapchatte,9,8.67,0.0,12.82,33.3,11.1,0.0,1
nozos_1,7,0,0.0,0.0,57.1,57.1,0.0,1
teskidanslesport,9,3.44,0.0,0.0,0.0,11.1,0.0,1
yzzomrots,5,0,0.0,0.0,100.0,0.0,0.0,1
feyech02,12,3.67,0.0,113.64,0.0,8.3,0.0,1
fak3rxx,16,3.31,37.74,0.0,0.0,25.0,0.0,1
ohrlacl,6,0.17,0.0,0.0,0.0,0.0,16.7,2
sheronntv,21,3.57,0.0,26.67,4.8,19.0,0.0,1
vaderamos,9,4.78,0.0,0.0,0.0,11.1,100.0,2
typhlosu,7,2,0.0,0.0,0.0,100.0,0.0,1
carvelli0n,7,5.57,0.0,0.0,0.0,0.0,100.0,1
doridorizamzam,21,0.48,0.0,0.0,4.8,0.0,100.0,1
martincabj18,6,7.67,0.0,0.0,16.7,50.0,100.0,1
serbz__,7,2,0.0,71.43,0.0,57.1,100.0,4
agrayel,5,0,0.0,0.0,0.0,0.0,0.0,1
alphacentauriguy,14,5,14.29,14.29,7.1,0.0,0.0,1
chillinoz,15,8.47,0.0,0.0,6.7,26.7,100.0,4
bostonpolarbear,6,3.17,0.0,0.0,16.7,33.3,0.0,1
pixiekins1,6,0,0.0,0.0,100.0,0.0,0.0,1
1lvane,7,1.86,0.0,0.0,0.0,14.3,100.0,1
sollowolo,18,24.83,26.85,0.0,5.6,33.3,100.0,3
hyuyumer,7,0,0.0,0.0,0.0,0.0,0.0,1
darha_karma,6,2,0.0,0.0,0.0,33.3,0.0,1
glamdringos,14,2.71,0.0,0.0,0.0,35.7,21.4,2
nimpex,10,2.9,0.0,0.0,0.0,60.0,100.0,1
kubix_spook,5,0,0.0,0.0,0.0,0.0,0.0,1
nosiall,5,7.6,0.0,0.0,0.0,0.0,0.0,1
scyerr,5,0,0.0,0.0,80.0,0.0,0.0,1
erickhun964,9,0,0.0,0.0,0.0,0.0,100.0,1
meedwouin,6,4.83,0.0,0.0,16.7,83.3,0.0,1
shinyzzzz,5,2.6,0.0,0.0,20.0,40.0,100.0,1
letchourmo,7,6.43,0.0,0.0,14.3,0.0,0.0,1
danielmc1905,6,0,0.0,0.0,0.0,0.0,0.0,1
pepitoo972,8,5.62,0.0,22.22,0.0,25.0,0.0,1
yoichitr,6,0.67,0.0,0.0,0.0,0.0,0.0,1
shyriuku,7,1.86,0.0,0.0,0.0,14.3,100.0,1
chiimchiim,5,3.8,0.0,0.0,40.0,60.0,100.0,1
thecaptainioche,5,2.8,0.0,0.0,0.0,60.0,0.0,1
michoui,5,5.4,37.04,37.04,40.0,0.0,0.0,1
yoyotaa,9,2.33,0.0,95.24,0.0,88.9,0.0,1
namiione,11,1.82,50.0,0.0,0.0,36.4,100.0,1
spidiy,5,4.2,0.0,0.0,0.0,40.0,100.0,1
imaadiis,5,2.4,0.0,166.67,20.0,40.0,0.0,1
onetrickponeyriven,9,2.56,0.0,0.0,0.0,44.4,0.0,1
lame1337,5,0,0.0,0.0,20.0,0.0,100.0,1
kadrek123,8,0,0.0,0.0,0.0,0.0,0.0,1
chillez69,20,5.15,9.71,0.0,0.0,0.0,100.0,1
downuts1,15,4.8,13.89,0.0,0.0,33.3,0.0,1
harri2478,8,0,0.0,0.0,0.0,0.0,0.0,1
kardesjl,5,6.4,0.0,0.0,0.0,0.0,100.0,1
darkeclipse66,15,2.47,0.0,0.0,6.7,20.0,13.3,6
camilote12355,8,2.5,0.0,0.0,0.0,62.5,100.0,1
lilvash0,15,3.33,0.0,0.0,0.0,13.3,100.0,1
inferno_wizardz,10,1.9,0.0,0.0,0.0,50.0,100.0,3
ginsett,6,0.17,0.0,0.0,0.0,0.0,0.0,1
yumiyum0,8,3.25,0.0,0.0,25.0,25.0,100.0,1
mocnikja,5,0.8,0.0,0.0,0.0,20.0,0.0,1
almasirius2311,8,0,0.0,0.0,25.0,0.0,0.0,1
stuff3dpanda,9,0,0.0,0.0,0.0,55.6,0.0,1
ssakdook,5,0,0.0,0.0,0.0,0.0,60.0,2
fakersnow,5,0,0.0,0.0,20.0,80.0,0.0,1
giftand,5,0,0.0,0.0,60.0,0.0,0.0,1
blackredevil,6,4.33,0.0,0.0,0.0,16.7,0.0,1
kiitsu7,10,3.1,0.0,0.0,0.0,60.0,0.0,1
alopexsc,6,0.67,0.0,0.0,0.0,0.0,0.0,1
aguerross,5,3.4,0.0,0.0,0.0,40.0,100.0,1
wonderneko,6,1.83,0.0,0.0,0.0,83.3,0.0,1
arma_narga,11,2.55,0.0,35.71,0.0,54.5,0.0,1
threshprinceofbelairr,5,0,0.0,0.0,20.0,0.0,0.0,1
lachips002,8,4.5,0.0,0.0,50.0,0.0,0.0,1
dill_pickle2,9,0,0.0,0.0,0.0,0.0,0.0,1
moggz,13,3.46,0.0,0.0,0.0,0.0,100.0,1
g0ldenix,6,1.17,0.0,0.0,0.0,50.0,100.0,1
nvrswift,5,2.4,0.0,0.0,0.0,20.0,100.0,1
wolfrag,6,2.33,0.0,0.0,16.7,33.3,100.0,1
izack95,6,3.5,0.0,0.0,0.0,50.0,100.0,1
swordesx,16,3.06,0.0,0.0,6.2,75.0,100.0,1
darksax1,5,0,0.0,0.0,0.0,0.0,0.0,1
bullehiver,6,3.5,0.0,0.0,0.0,0.0,100.0,1
karesz696969,5,0,0.0,0.0,60.0,60.0,0.0,1
gotucix4,5,0.8,1000.0,0.0,20.0,80.0,0.0,1
tekzap,10,2.5,0.0,0.0,10.0,70.0,100.0,1
garoshikhs,6,0,0.0,0.0,0.0,0.0,0.0,1
iotek12,5,2,0.0,0.0,0.0,60.0,100.0,1
bolio4,7,0,0.0,0.0,0.0,0.0,0.0,1
mailcreeper,31,4.81,13.42,6.71,0.0,48.4,0.0,1
rasit112,5,3.4,0.0,0.0,0.0,0.0,100.0,1
vodkananas1,8,0,0.0,0.0,0.0,0.0,0.0,1
dypajieu,6,0,0.0,0.0,66.7,0.0,0.0,1
mck1970,8,5.5,22.73,22.73,25.0,0.0,0.0,1
audelisabeth,5,4.4,0.0,0.0,0.0,0.0,100.0,1
sundarutv,8,4.5,0.0,0.0,0.0,62.5,100.0,1
ephatty,6,3.17,0.0,0.0,0.0,0.0,100.0,1
fatalclem,5,4,0.0,50.0,20.0,40.0,100.0,1
missteryboy,7,0,0.0,0.0,0.0,0.0,0.0,1
rt1544,5,0,0.0,0.0,20.0,0.0,100.0,1
7thgleen,17,3.06,0.0,0.0,0.0,82.4,100.0,2
jewishduckie,5,0.8,0.0,0.0,0.0,0.0,0.0,1
yeah352,6,3,0.0,0.0,0.0,83.3,100.0,1
darthnihilius,6,1.5,0.0,0.0,16.7,33.3,100.0,1
the_mustard_man_,6,0,0.0,0.0,66.7,66.7,0.0,1
12si3de0,5,0,0.0,0.0,0.0,40.0,0.0,1
q_traim,6,0,0.0,0.0,0.0,0.0,0.0,1
karupi999,5,0,0.0,0.0,20.0,0.0,100.0,1
greyyg00se,7,2.29,0.0,0.0,0.0,14.3,100.0,1
secalope,5,0,0.0,0.0,60.0,0.0,0.0,1
alperycll,17,3.82,0.0,0.0,0.0,5.9,100.0,1
felorr_,6,2.5,0.0,0.0,0.0,66.7,100.0,1
mael79180,5,9.2,0.0,0.0,20.0,40.0,100.0,1
acneotter,5,3.6,0.0,0.0,0.0,0.0,100.0,1
didi3acegotbannedbykamet0,9,3.33,33.33,0.0,33.3,22.2,100.0,1
slavni_sporchik,6,0,0.0,0.0,0.0,0.0,0.0,1
jacquouilles20,9,3.67,30.3,0.0,11.1,44.4,100.0,1
master_torgo,19,8,6.58,0.0,0.0,5.3,0.0,1
ayhusky,6,0.67,0.0,0.0,0.0,0.0,0.0,1
glintexas,14,3.57,0.0,0.0,7.1,14.3,100.0,5
freethemadnes2727,5,0,0.0,0.0,60.0,0.0,0.0,1
badboyae,10,3.7,0.0,0.0,0.0,10.0,100.0,1
needmoredamage,6,0,0.0,0.0,50.0,0.0,0.0,1
leuz93,6,0,0.0,0.0,0.0,66.7,0.0,1
nhtgrss,6,7.67,0.0,0.0,0.0,16.7,100.0,2
pikaamaye_,5,2.4,0.0,0.0,0.0,80.0,100.0,1
omegaonfyah,6,0,0.0,0.0,66.7,0.0,0.0,1
scratchy35,5,0.8,0.0,0.0,40.0,40.0,100.0,1
theristv,6,0,0.0,0.0,50.0,50.0,0.0,1
fwandaylo101,12,1.83,0.0,0.0,0.0,50.0,100.0,2
professorcooldaddy,7,3.14,0.0,45.45,0.0,0.0,0.0,1
xoxeman,5,0.6,0.0,0.0,0.0,0.0,0.0,1
toythatsonyoutube,10,6.3,15.87,15.87,0.0,30.0,0.0,1
balbskajj,5,0,0.0,0.0,60.0,0.0,0.0,1
gabikaa1102,5,0,0.0,0.0,0.0,0.0,0.0,1
bobo00000000,11,4.73,0.0,0.0,0.0,18.2,100.0,1
rodorider,13,2.77,0.0,0.0,7.7,84.6,100.0,1
sloom96,6,0.33,0.0,0.0,0.0,33.3,0.0,1
rakaxdanslecarre,8,2.12,0.0,0.0,0.0,75.0,100.0,1
marcuslul,5,1,0.0,0.0,0.0,60.0,100.0,3
paulthecat,6,8.33,0.0,0.0,0.0,66.7,83.3,2
slimy123,8,1.12,0.0,0.0,0.0,75.0,100.0,2
souleymann,13,4,19.23,0.0,0.0,7.7,100.0,2
babushet,5,0.4,0.0,0.0,60.0,0.0,0.0,1
blowmymnd,10,5.9,0.0,0.0,0.0,20.0,100.0,2
8nasnas,5,0,0.0,0.0,20.0,0.0,100.0,1
ruimigo,5,0,0.0,0.0,0.0,40.0,0.0,1
fazaate_,6,1.67,0.0,0.0,0.0,50.0,100.0,1
chaambawaamba,8,11.5,0.0,0.0,12.5,0.0,100.0,1
bigdck1233,5,0,0.0,0.0,0.0,0.0,0.0,1
ebaldrin,6,0,0.0,0.0,0.0,0.0,0.0,1
brucomickeal,5,3.4,0.0,0.0,20.0,20.0,100.0,1
lesys72,6,2.33,71.43,0.0,0.0,0.0,100.0,1
20justin12,5,0,0.0,0.0,0.0,0.0,0.0,1
toonssy,7,1,0.0,0.0,14.3,57.1,100.0,2
pronobiss,27,1.85,20.0,0.0,0.0,51.9,3.7,2
terbiyesiz_adam,6,4.5,0.0,0.0,0.0,0.0,100.0,1
jazzykat,13,2.08,0.0,0.0,0.0,7.7,38.5,2
blackn444,6,0,0.0,0.0,0.0,0.0,0.0,1
xelor24,5,2.4,0.0,0.0,0.0,40.0,100.0,1
sugdjtlw,6,0,0.0,0.0,16.7,0.0,100.0,1
davidhevil,5,3,0.0,0.0,0.0,20.0,0.0,1
fr0win_,5,2.4,0.0,0.0,0.0,20.0,0.0,1
ragthedag,5,0,0.0,0.0,0.0,0.0,0.0,1
zoaone,6,24.17,0.0,0.0,0.0,0.0,0.0,1
atharry,6,5.33,0.0,0.0,0.0,33.3,0.0,1
gold1none,6,1.17,0.0,0.0,16.7,50.0,100.0,1
fc_ghost99,5,4.2,0.0,0.0,0.0,0.0,100.0,1
damdestiny68,6,3.83,0.0,0.0,0.0,0.0,100.0,1
13mark5,5,1.2,0.0,0.0,0.0,0.0,0.0,1
kitsuneko803,14,5.21,0.0,13.7,21.4,7.1,7.1,2
syrianrefugee420,6,4.33,0.0,38.46,16.7,50.0,100.0,1
snck2logan,6,0,0.0,0.0,0.0,0.0,0.0,1
secret_ko,9,4.11,0.0,0.0,0.0,11.1,100.0,1
zaza1234567899,5,0,0.0,0.0,0.0,40.0,0.0,1
skibouille,12,5.33,0.0,0.0,0.0,8.3,0.0,1
knotts__,10,1,0.0,0.0,0.0,20.0,0.0,2
kfcmanagerwakanda,5,1.8,0.0,0.0,20.0,20.0,100.0,3
script_bard,7,7.57,0.0,56.6,0.0,14.3,0.0,1
haxprocess06,5,0,0.0,0.0,0.0,0.0,0.0,1
but_your_too_ugly,6,0,0.0,0.0,50.0,0.0,0.0,1
spacecowboy974,7,9.57,0.0,0.0,28.6,0.0,0.0,1
raufbaba25,5,6,0.0,0.0,20.0,20.0,100.0,2
rexozoid,11,1,0.0,0.0,0.0,36.4,90.9,4
zirpop,6,1.17,0.0,0.0,0.0,50.0,0.0,1
musicvyro,5,1.6,0.0,0.0,0.0,40.0,100.0,1
type3rotik,7,4.43,0.0,32.26,0.0,42.9,0.0,1
aikalys,5,2.4,0.0,0.0,0.0,100.0,0.0,1
ttv_heix,9,3.33,0.0,0.0,0.0,0.0,100.0,1
chebony,6,0,0.0,0.0,0.0,100.0,0.0,1
breakingpukey,6,0,0.0,0.0,0.0,0.0,0.0,1
kricam,5,0.4,0.0,0.0,0.0,20.0,0.0,1
manuelciscato22,8,7.38,0.0,0.0,12.5,0.0,0.0,1
sverk3r,6,0,0.0,0.0,0.0,0.0,0.0,1
byakuyasama31,5,1,0.0,0.0,0.0,80.0,100.0,2
kasztitv,5,0,0.0,0.0,0.0,40.0,0.0,1
metjass,8,4.62,27.03,0.0,37.5,25.0,0.0,2
doktoryucel,5,4.8,0.0,0.0,0.0,60.0,100.0,1
trspikerenestr,21,4.19,0.0,0.0,0.0,95.2,100.0,1
gregos93,8,0.75,0.0,0.0,25.0,62.5,100.0,1
kemalim53,6,5.5,0.0,0.0,0.0,0.0,100.0,2
planteenpot,5,5,0.0,0.0,40.0,20.0,100.0,1
jhonadota,5,0,0.0,0.0,0.0,0.0,0.0,1
skystream97,5,0,0.0,0.0,0.0,0.0,0.0,1
edrinaline,10,3.2,31.25,0.0,0.0,60.0,60.0,6
kii_ren,5,0,0.0,0.0,60.0,0.0,0.0,1
axshudou,9,4.89,0.0,22.73,11.1,33.3,0.0,1
annapycses,14,5.07,0.0,0.0,28.6,7.1,0.0,1
brandonbarajas,19,2,0.0,0.0,0.0,52.6,94.7,2
ray1172,5,0,0.0,0.0,0.0,0.0,100.0,1
king3vbo,5,0,0.0,0.0,20.0,0.0,0.0,1
onurcanerdem,7,8.43,0.0,0.0,14.3,28.6,100.0,3
delioguz,16,8.38,0.0,0.0,6.2,37.5,100.0,2
brianevidente,5,0,0.0,0.0,60.0,0.0,0.0,1
digitalseeds,5,5.8,0.0,34.48,0.0,0.0,0.0,1
paulposition,6,8.5,0.0,0.0,16.7,0.0,0.0,1
dhamarules,5,0,0.0,0.0,0.0,0.0,0.0,1
prince_kuzya,5,0,0.0,0.0,0.0,40.0,0.0,1
michael_clutch_,5,4.2,0.0,0.0,0.0,0.0,0.0,1
derelicht,8,1.75,0.0,71.43,12.5,37.5,100.0,1
n__m__,5,10.2,0.0,0.0,0.0,0.0,0.0,1
detres_,5,0,0.0,0.0,0.0,60.0,0.0,1
kingsayblue,6,2.17,0.0,76.92,0.0,33.3,50.0,3
leojeo,5,6.8,0.0,0.0,0.0,20.0,100.0,1
sirfancington,10,5.5,0.0,18.18,20.0,0.0,0.0,1
nickeverdin,5,3.6,0.0,0.0,0.0,40.0,100.0,2
se_bastian,20,6.3,0.0,0.0,0.0,45.0,90.0,4
craxzy_sc2,5,0,0.0,0.0,60.0,0.0,0.0,1
myinnerfir3,12,0.92,0.0,0.0,33.3,25.0,100.0,4
eygrr,6,8.17,40.82,20.41,16.7,16.7,0.0,2
blackcellwhitecell,6,0,0.0,0.0,0.0,100.0,0.0,1
glaeth_,12,5.5,0.0,15.15,0.0,0.0,100.0,2
babydooney,5,19,0.0,0.0,0.0,40.0,100.0,2
azn_,8,1.62,0.0,0.0,0.0,87.5,100.0,3
patissieremiyuki,19,2.47,42.55,0.0,21.1,15.8,100.0,2
abuzd,5,5.4,0.0,0.0,0.0,40.0,100.0,1
anckax,16,2.88,0.0,0.0,0.0,81.2,100.0,1
suitwo,10,1.2,0.0,0.0,0.0,90.0,0.0,1
gatyesz,12,3.25,0.0,25.64,8.3,8.3,0.0,1
nayteddd,5,3,0.0,0.0,20.0,40.0,0.0,1
flar3fir3,7,4.43,0.0,0.0,0.0,42.9,85.7,3
willsnedd17,8,1.5,0.0,0.0,0.0,37.5,100.0,4
khirsah6,6,4.33,38.46,0.0,0.0,0.0,0.0,1
xarcus96,8,1.75,0.0,0.0,0.0,50.0,0.0,1
buliarz,5,2.2,0.0,0.0,0.0,20.0,20.0,2
dawny_l9,10,5.3,0.0,37.74,0.0,10.0,0.0,2
kesujo,12,1.42,0.0,0.0,8.3,58.3,0.0,1
soulsneeded,8,4.25,58.82,0.0,0.0,0.0,0.0,1
zeitar,5,0,0.0,0.0,0.0,0.0,0.0,1
dislike522,17,0.06,0.0,0.0,0.0,5.9,100.0,1
rheno142,6,1.33,0.0,0.0,16.7,0.0,33.3,3
thatlatvianguy,7,2.14,0.0,0.0,0.0,28.6,0.0,1
anawasalittlewonder,8,4,0.0,0.0,0.0,12.5,100.0,4
thedrunker114,6,0,0.0,0.0,0.0,66.7,0.0,1
mercyforwhat,5,9,22.22,0.0,40.0,20.0,100.0,1
hypelastika,11,3.36,0.0,0.0,27.3,18.2,0.0,1
prothro,9,1.33,166.67,0.0,11.1,44.4,0.0,2
teambosyy,5,1.4,0.0,0.0,0.0,80.0,0.0,1
runescapefish,7,1.43,0.0,0.0,14.3,57.1,0.0,1
